Manufacturer,Model,Engine size,Fuel type,Year of manufacture,Mileage,Price
BMW,M5,5.0,Petrol,1994,200671,6304
VW,Golf,1.2,Petrol,2010,75044,10252
Ford,Focus,1.4,Diesel,2011,85682,13749
BMW,Z4,3.0,Petrol,2016,30938,41935
Toyota,Yaris,1.0,Hybrid,1992,206502,1128
Ford,Fiesta,1.0,Petrol,2018,28322,17548
VW,Polo,2.0,Petrol,2006,86930,7868
VW,Passat,1.6,Diesel,1994,278872,963
VW,Passat,1.6,Diesel,2002,186800,3790
Toyota,RAV4,2.4,Petrol,2018,33955,46559
Toyota,Prius,1.0,Hybrid,2008,80278,11720
BMW,M5,4.4,Petrol,2002,190714,11000
Ford,Fiesta,1.2,Diesel,2010,86665,8156
VW,Golf,2.0,Diesel,2004,102990,7642
Ford,Fiesta,1.2,Petrol,1987,205791,641
BMW,X3,3.0,Petrol,1990,277582,1077
Toyota,RAV4,1.8,Hybrid,2007,84621,16775
Ford,Fiesta,1.0,Petrol,2000,248279,948
Ford,Mondeo,2.0,Diesel,1988,152497,2107
Ford,Fiesta,1.2,Petrol,1989,305950,290
BMW,M5,5.0,Petrol,1989,152949,6788
Toyota,RAV4,2.2,Hybrid,1993,217909,2469
Porsche,Cayenne,3.5,Petrol,1997,234928,3761
Porsche,718 Cayman,2.0,Petrol,2005,119688,10902
VW,Passat,2.0,Petrol,2019,18002,42653
VW,Golf,1.6,Petrol,2006,103775,7395
VW,Golf,1.4,Diesel,2004,52003,9061
Ford,Mondeo,1.6,Diesel,1997,197620,2339
Ford,Focus,2.0,Petrol,1986,265330,652
VW,Golf,1.8,Petrol,2014,63336,17724
Ford,Fiesta,1.0,Petrol,2005,65718,5860
Toyota,RAV4,2.4,Hybrid,1994,161014,4517
VW,Polo,1.6,Petrol,2021,12081,30426
VW,Golf,1.4,Petrol,1996,205167,1546
Ford,Mondeo,1.6,Diesel,2018,23472,34416
VW,Golf,1.2,Petrol,2016,68648,15967
Ford,Focus,2.0,Diesel,2018,28420,37763
BMW,Z4,2.2,Petrol,2003,68946,11917
VW,Polo,1.0,Petrol,1992,154734,1299
VW,Golf,1.4,Petrol,2002,191844,2593
Toyota,RAV4,1.8,Hybrid,2020,6068,64448
Ford,Focus,1.6,Diesel,2001,124184,5675
Porsche,718 Cayman,2.0,Petrol,2016,40956,39034
VW,Golf,1.6,Petrol,2018,22653,27912
VW,Passat,1.4,Diesel,1997,169912,2936
BMW,M5,5.0,Petrol,1997,144212,12426
Toyota,Yaris,1.4,Petrol,2008,85432,8576
VW,Golf,1.2,Diesel,2003,118806,4917
Ford,Fiesta,1.4,Petrol,2010,60399,10019
Ford,Mondeo,1.8,Diesel,1997,162543,3352
Ford,Mondeo,1.6,Diesel,1988,199569,1262
Toyota,Yaris,1.0,Petrol,1993,197434,1089
Toyota,Prius,1.0,Hybrid,2010,93570,12194
Ford,Fiesta,1.2,Petrol,2001,169486,2234
Ford,Focus,1.4,Petrol,2002,160047,4049
Ford,Fiesta,1.2,Hybrid,1990,193258,1049
VW,Polo,1.6,Petrol,2011,30879,14078
BMW,M5,4.4,Petrol,2013,80694,54652
Toyota,Prius,1.4,Hybrid,2012,46055,22635
VW,Golf,1.6,Diesel,2015,50040,20416
Ford,Mondeo,1.6,Diesel,2020,11676,41930
VW,Polo,2.0,Diesel,2003,145639,4328
VW,Passat,1.8,Diesel,2005,130161,7852
VW,Golf,2.0,Petrol,2005,125096,6580
Toyota,RAV4,1.8,Hybrid,1990,281856,1013
VW,Passat,1.8,Petrol,2004,31305,13815
Porsche,911,3.5,Petrol,2020,16016,137107
VW,Polo,1.2,Petrol,2000,138607,2766
BMW,Z4,3.0,Petrol,1986,134854,2763
VW,Golf,1.4,Petrol,2009,87620,9495
BMW,X3,2.4,Diesel,1997,128970,5943
Porsche,718 Cayman,2.0,Petrol,2009,75305,19640
VW,Passat,1.6,Diesel,2002,85894,8432
Ford,Focus,1.8,Petrol,1988,172891,1620
Toyota,RAV4,2.2,Petrol,1996,115772,5911
VW,Passat,1.4,Diesel,2010,57352,16285
Toyota,Prius,1.4,Hybrid,2006,107457,9983
Ford,Fiesta,1.4,Petrol,2008,120357,5727
VW,Polo,1.6,Petrol,2007,76984,8060
Ford,Mondeo,2.0,Diesel,1992,157948,2630
VW,Passat,1.4,Diesel,2010,122053,10295
Ford,Mondeo,1.8,Diesel,2001,80340,8231
VW,Golf,1.6,Hybrid,2002,203671,2998
Toyota,Yaris,1.4,Hybrid,2020,16368,35229
VW,Golf,1.6,Diesel,1989,156623,1651
VW,Passat,1.8,Diesel,1997,334190,735
Porsche,911,3.0,Petrol,1992,174736,6331
Ford,Focus,1.8,Petrol,2010,71503,15311
Ford,Focus,1.0,Petrol,2007,44852,11085
Toyota,Prius,1.8,Hybrid,1984,278075,598
BMW,Z4,2.0,Petrol,1994,218545,1886
BMW,M5,4.0,Petrol,2009,93153,36558
Toyota,Prius,1.8,Hybrid,1991,257711,1155
Toyota,RAV4,1.8,Hybrid,2006,148002,9692
VW,Golf,1.2,Petrol,1989,204503,903
BMW,Z4,2.0,Petrol,2003,163280,5557
Toyota,Yaris,1.0,Petrol,2015,18432,17580
VW,Golf,1.8,Petrol,2012,10429,21202
Toyota,Prius,1.8,Hybrid,2006,58474,15914
Toyota,Yaris,1.4,Petrol,2013,71950,13130
Toyota,Prius,1.4,Hybrid,2014,46052,25864
BMW,Z4,3.0,Petrol,2018,29951,48189
Toyota,Yaris,1.2,Hybrid,1994,201968,1470
VW,Passat,1.6,Petrol,1985,192186,1109
Ford,Focus,1.6,Petrol,2008,105403,9940
VW,Golf,1.8,Petrol,2018,30075,28389
Ford,Mondeo,1.4,Diesel,2000,188129,2903
Ford,Mondeo,1.6,Diesel,2001,182739,3476
Toyota,Yaris,1.2,Petrol,2005,38333,8826
BMW,X3,2.0,Diesel,1990,231488,1416
VW,Passat,1.4,Diesel,2005,99711,8725
Toyota,Yaris,1.4,Petrol,2017,57164,18889
Porsche,Cayenne,4.0,Petrol,1991,315780,1261
Toyota,Prius,1.0,Hybrid,1995,105133,4123
VW,Passat,1.8,Petrol,2013,8397,28548
VW,Polo,1.6,Petrol,2003,98757,5293
Ford,Focus,1.4,Petrol,2004,125149,6129
VW,Polo,2.0,Petrol,2006,85185,7965
VW,Golf,2.0,Petrol,1986,309630,360
Ford,Fiesta,1.4,Petrol,2017,45386,17560
Ford,Mondeo,1.8,Petrol,2014,37709,24531
Toyota,Prius,1.8,Hybrid,2019,23840,46624
VW,Polo,1.4,Diesel,1994,247519,816
Ford,Focus,1.6,Hybrid,2007,139406,8581
VW,Golf,1.2,Petrol,2012,90389,10529
Porsche,911,2.6,Petrol,2015,30739,77993
Toyota,RAV4,1.8,Petrol,2000,132672,6123
Ford,Focus,1.0,Petrol,2012,95137,11060
Ford,Fiesta,1.4,Petrol,2006,99805,5848
VW,Passat,1.4,Diesel,2017,27570,31092
Porsche,Cayenne,3.5,Petrol,1995,84606,11345
VW,Polo,1.6,Petrol,2007,116310,6063
Toyota,Yaris,1.4,Hybrid,2013,65729,16423
Ford,Mondeo,1.6,Diesel,2007,97662,10240
Toyota,RAV4,2.2,Hybrid,2017,38587,48694
VW,Polo,1.0,Petrol,2004,121022,3785
VW,Polo,1.6,Petrol,2020,19569,27337
VW,Polo,2.0,Petrol,2008,115281,7303
Ford,Fiesta,1.2,Petrol,1992,210126,861
Toyota,Prius,1.0,Hybrid,2000,157475,3811
Toyota,RAV4,1.8,Hybrid,2010,61747,23911
BMW,X3,3.0,Diesel,1994,176591,3680
Toyota,Yaris,1.2,Petrol,1998,202857,1587
BMW,Z4,2.0,Petrol,2012,55662,22573
Ford,Focus,1.4,Petrol,2003,107430,6562
Ford,Focus,1.4,Petrol,1998,142890,3569
Ford,Fiesta,1.0,Petrol,2018,41266,16266
VW,Passat,1.6,Diesel,1999,244282,1855
Toyota,Prius,1.8,Hybrid,1995,222412,2084
Ford,Mondeo,2.0,Diesel,2007,102232,11073
Toyota,Yaris,1.0,Hybrid,2012,71461,12499
Ford,Fiesta,1.0,Petrol,1999,123113,2600
Ford,Fiesta,1.2,Petrol,2016,51896,14608
Ford,Focus,2.0,Diesel,1997,93406,6117
Ford,Mondeo,1.6,Diesel,2006,162612,5755
VW,Polo,1.0,Petrol,2004,115338,3953
VW,Golf,1.4,Petrol,2012,81053,12143
VW,Passat,1.4,Diesel,1999,75318,6947
VW,Passat,1.6,Petrol,2001,208457,2792
Ford,Mondeo,1.4,Petrol,2021,17149,38775
Toyota,Yaris,1.4,Hybrid,2001,53935,7962
Toyota,RAV4,2.4,Hybrid,2010,66516,26761
VW,Passat,2.0,Diesel,2017,51921,32126
BMW,Z4,2.0,Petrol,2004,104140,9482
Toyota,RAV4,2.0,Hybrid,2001,63312,13692
Ford,Fiesta,1.0,Petrol,2002,78468,4403
VW,Golf,1.2,Petrol,2006,50426,9219
BMW,X3,2.0,Diesel,1992,229375,1650
Ford,Mondeo,1.8,Diesel,2020,18751,42812
Ford,Fiesta,1.0,Petrol,2007,125866,4339
BMW,M5,4.4,Petrol,2002,123248,19206
BMW,Z4,2.0,Petrol,2009,129638,10895
Toyota,Prius,1.4,Hybrid,2017,48111,31193
Toyota,Prius,1.0,Hybrid,2001,141024,4660
Toyota,Prius,1.4,Hybrid,1998,184888,3129
VW,Golf,1.8,Diesel,1987,152670,1583
Toyota,Prius,1.4,Hybrid,2011,65305,18737
Ford,Mondeo,1.6,Diesel,2006,99791,9432
Porsche,911,3.5,Petrol,1996,128271,13062
Porsche,Cayenne,2.6,Petrol,1994,150311,5543
VW,Polo,1.0,Petrol,2018,21151,18750
Toyota,Yaris,1.4,Hybrid,1996,165877,2477
VW,Golf,1.4,Petrol,2005,37635,10069
VW,Polo,1.4,Petrol,2006,121729,5090
Ford,Mondeo,1.6,Hybrid,2010,46571,20150
VW,Polo,1.2,Petrol,2012,77246,9724
VW,Golf,1.8,Petrol,1995,151004,2606
BMW,X3,3.0,Diesel,2019,33221,55727
Ford,Mondeo,1.8,Diesel,2005,133849,7219
Toyota,RAV4,2.4,Hybrid,2010,62073,27551
Ford,Mondeo,2.0,Diesel,1998,148819,4230
Ford,Mondeo,1.8,Diesel,1998,138623,4358
VW,Golf,1.8,Petrol,2015,46504,21080
Ford,Fiesta,1.0,Petrol,2000,44390,4807
Toyota,Prius,1.4,Hybrid,2019,24797,40899
Ford,Fiesta,1.2,Petrol,1997,103860,2884
Ford,Mondeo,2.0,Hybrid,1999,116033,6695
Ford,Focus,1.4,Petrol,1989,73834,3277
Ford,Fiesta,1.4,Petrol,2008,97851,6778
Toyota,Yaris,1.4,Hybrid,1993,162314,2089
VW,Passat,1.4,Diesel,2008,82676,12034
Ford,Mondeo,1.6,Diesel,1988,344865,324
VW,Golf,1.6,Petrol,1993,67775,4002
Ford,Fiesta,1.4,Petrol,2019,18601,23433
Ford,Focus,2.0,Petrol,2011,62159,18351
VW,Golf,2.0,Hybrid,1993,273792,968
VW,Golf,1.4,Diesel,2009,98209,9241
BMW,M5,4.4,Petrol,1984,302861,1182
BMW,M5,4.4,Petrol,2004,60282,34383
Toyota,Prius,1.0,Hybrid,2000,167439,3507
Porsche,718 Cayman,4.0,Petrol,2012,76540,33640
Toyota,Prius,1.0,Hybrid,1997,214136,1912
Ford,Focus,1.6,Petrol,2015,43640,24078
Toyota,RAV4,1.8,Hybrid,2015,43038,37531
VW,Golf,1.6,Hybrid,2018,36838,30877
BMW,X3,2.0,Diesel,2011,63496,22135
VW,Polo,1.0,Petrol,2011,73727,8506
BMW,M5,4.4,Petrol,2002,77377,26855
VW,Golf,1.6,Diesel,1992,115149,2804
Toyota,Prius,1.4,Hybrid,2014,104143,17441
Toyota,Yaris,1.2,Hybrid,2022,6545,39254
BMW,Z4,2.0,Petrol,2022,5046,58818
Ford,Fiesta,1.2,Petrol,2007,115654,5142
VW,Golf,1.6,Diesel,2006,44190,11615
VW,Passat,1.8,Diesel,2008,44917,17467
BMW,Z4,2.0,Petrol,2000,198900,3350
Ford,Fiesta,1.2,Petrol,2016,75454,12523
VW,Polo,1.0,Petrol,2003,143595,2963
VW,Polo,2.0,Petrol,1998,147935,2899
VW,Golf,1.6,Petrol,2007,29259,12915
Ford,Focus,2.0,Petrol,2016,49468,27764
VW,Passat,1.6,Diesel,1998,262634,1464
VW,Polo,1.6,Petrol,2013,54031,13985
Ford,Fiesta,1.4,Petrol,2016,41826,16787
Toyota,Prius,1.4,Hybrid,2014,72559,21806
VW,Golf,1.6,Hybrid,2005,116040,7572
Ford,Fiesta,1.0,Petrol,2013,50140,11039
Toyota,RAV4,2.4,Hybrid,1986,202796,1850
Toyota,RAV4,1.8,Hybrid,2000,118799,8185
Porsche,Cayenne,3.0,Petrol,2014,26616,53863
VW,Polo,1.6,Petrol,2006,130382,5086
Ford,Mondeo,1.6,Petrol,1986,253067,648
BMW,M5,4.0,Petrol,1987,300094,1414
Ford,Mondeo,1.4,Petrol,2003,153198,4539
BMW,X3,3.0,Diesel,2012,73386,27135
VW,Polo,1.2,Petrol,2005,92173,5493
Toyota,Yaris,1.4,Petrol,2018,16200,25716
Ford,Focus,1.8,Petrol,2000,204328,2745
Toyota,Prius,1.8,Hybrid,2005,154306,7326
Toyota,RAV4,1.8,Hybrid,2006,54455,19191
Ford,Mondeo,2.0,Diesel,2004,90419,9874
Toyota,Yaris,1.2,Petrol,1996,205747,1354
Toyota,Prius,1.4,Hybrid,2017,25793,35593
BMW,X3,3.0,Diesel,2015,40234,40950
Toyota,Prius,1.4,Hybrid,1994,115967,4207
BMW,Z4,2.0,Petrol,1995,312991,835
VW,Polo,1.2,Petrol,2018,26728,19908
BMW,X3,3.0,Diesel,1998,193391,4155
Toyota,Yaris,1.4,Petrol,1998,101773,3915
Ford,Focus,2.0,Petrol,2010,84390,14774
VW,Passat,1.6,Diesel,2014,55690,22973
VW,Polo,1.4,Diesel,2018,26227,22643
Toyota,Prius,1.8,Hybrid,2002,167854,5357
Toyota,Prius,1.4,Hybrid,2013,52422,23258
Ford,Fiesta,1.4,Petrol,2008,74758,7972
Ford,Fiesta,1.2,Petrol,2006,54785,7365
Porsche,911,2.6,Petrol,2022,5071,143033
Toyota,Prius,1.0,Hybrid,2005,177518,4493
VW,Passat,1.6,Diesel,2000,50618,9327
Toyota,Prius,1.8,Hybrid,2014,40343,30361
Ford,Mondeo,1.6,Diesel,1994,124952,3505
Ford,Mondeo,1.8,Diesel,2009,98005,12379
Toyota,Prius,1.0,Hybrid,2009,95700,11234
Ford,Fiesta,1.2,Petrol,2010,46532,10124
Toyota,Yaris,1.2,Petrol,2006,65509,7957
Toyota,RAV4,2.0,Hybrid,1996,148420,5227
Toyota,RAV4,2.0,Petrol,1989,113001,3609
Toyota,RAV4,2.0,Hybrid,2014,16333,43135
Ford,Mondeo,1.6,Hybrid,2018,25336,38923
VW,Golf,2.0,Diesel,1989,229426,978
VW,Polo,1.2,Petrol,2020,16261,24105
Toyota,Prius,1.8,Hybrid,1997,149420,4473
BMW,X3,2.4,Petrol,1984,236049,950
Toyota,Prius,1.4,Hybrid,1994,99908,4742
BMW,X3,2.0,Diesel,1999,141312,5620
Toyota,RAV4,2.0,Hybrid,2022,7987,76857
Ford,Mondeo,1.4,Diesel,1998,141743,3748
Toyota,Prius,1.0,Hybrid,1999,92775,5890
Ford,Focus,1.0,Petrol,2004,101470,6196
VW,Polo,1.6,Petrol,2002,105711,4705
VW,Golf,1.6,Petrol,1988,217783,866
VW,Polo,1.2,Petrol,1988,200002,740
Ford,Mondeo,1.4,Diesel,2020,19959,37508
VW,Golf,1.4,Petrol,2011,19862,16627
Toyota,Yaris,1.2,Hybrid,1996,260847,983
Ford,Focus,1.8,Petrol,2007,106524,9781
Ford,Focus,1.8,Petrol,2013,83424,17235
Porsche,Cayenne,3.0,Diesel,2009,58435,33433
Ford,Mondeo,1.4,Hybrid,2005,73586,11344
VW,Polo,1.6,Petrol,1991,254497,637
Ford,Fiesta,1.2,Petrol,2005,64561,6469
Ford,Fiesta,1.0,Petrol,2020,27476,20148
BMW,Z4,2.0,Petrol,2009,150915,9185
Toyota,Prius,1.4,Hybrid,2020,16348,45803
Toyota,RAV4,2.2,Hybrid,2002,140806,8699
Ford,Mondeo,1.8,Diesel,1995,248297,1374
BMW,M5,4.4,Petrol,2010,41211,57778
BMW,M5,5.0,Petrol,2018,49770,99633
Toyota,Yaris,1.4,Hybrid,1996,170542,2381
Ford,Fiesta,1.0,Petrol,1992,300279,341
Ford,Focus,1.0,Petrol,2021,13497,33729
VW,Golf,1.6,Diesel,2018,36899,27007
VW,Passat,2.0,Diesel,1989,190579,1724
Ford,Mondeo,2.0,Diesel,2003,128039,6971
VW,Golf,1.2,Petrol,2017,12095,23949
Ford,Fiesta,1.2,Petrol,2009,62195,8577
Ford,Mondeo,1.4,Diesel,1997,229330,1648
Toyota,Yaris,1.2,Hybrid,1999,201590,2058
Ford,Focus,1.0,Petrol,1995,104346,3329
VW,Golf,2.0,Diesel,1989,246379,838
BMW,Z4,2.2,Petrol,2002,118679,7801
Ford,Fiesta,1.0,Petrol,2014,66022,10657
VW,Passat,1.8,Diesel,1994,209556,1931
VW,Passat,1.6,Petrol,1992,151956,2487
Ford,Mondeo,1.8,Diesel,2017,38408,31331
Ford,Mondeo,1.6,Hybrid,1995,232243,1716
VW,Passat,1.8,Diesel,1993,133506,3436
Ford,Fiesta,1.0,Petrol,2002,148741,2590
Ford,Focus,1.8,Petrol,2004,108767,7875
Ford,Fiesta,1.2,Petrol,2016,61226,13764
BMW,M5,4.4,Petrol,1991,131870,8623
Ford,Fiesta,1.0,Petrol,1998,188757,1415
Toyota,Prius,1.4,Hybrid,2006,111393,9693
Toyota,RAV4,1.8,Hybrid,2002,114828,9641
Toyota,Prius,1.4,Hybrid,2013,120648,14405
Toyota,Yaris,1.0,Petrol,2013,33674,14116
Toyota,RAV4,1.8,Petrol,2004,34145,15838
Ford,Focus,1.6,Petrol,2008,78582,12040
Toyota,RAV4,1.8,Petrol,2017,19030,41045
Ford,Mondeo,1.8,Diesel,1996,39298,7685
VW,Golf,1.8,Petrol,1991,120445,2544
Ford,Focus,1.8,Diesel,2001,188499,3540
Ford,Mondeo,1.4,Diesel,1992,102046,3412
Ford,Mondeo,1.8,Diesel,2009,101889,12033
Ford,Fiesta,1.2,Petrol,2008,80250,7109
VW,Passat,2.0,Diesel,2002,147937,5877
Ford,Mondeo,1.4,Diesel,1992,138339,2582
BMW,Z4,2.4,Petrol,2011,58602,22702
VW,Passat,1.6,Diesel,2013,83163,17894
Toyota,Prius,1.4,Hybrid,1989,165474,2026
Ford,Mondeo,1.4,Diesel,1993,155787,2395
VW,Polo,1.6,Petrol,2007,10141,12088
VW,Passat,1.8,Diesel,1999,178179,3545
VW,Golf,1.4,Petrol,2011,54291,13564
VW,Golf,1.6,Diesel,2016,34844,23924
VW,Golf,1.4,Petrol,1995,229700,1160
BMW,X3,2.4,Diesel,2018,37033,45597
VW,Passat,1.6,Diesel,1992,335933,488
BMW,M5,4.0,Petrol,2009,91165,37081
Toyota,Prius,1.8,Hybrid,1994,125683,4426
Ford,Focus,1.6,Hybrid,1986,95040,2968
VW,Polo,1.4,Petrol,2017,21263,20741
VW,Passat,1.4,Diesel,2010,41399,17981
Ford,Focus,1.4,Petrol,2015,82551,17474
Toyota,RAV4,1.8,Hybrid,2012,15644,35947
Porsche,718 Cayman,2.4,Petrol,2009,97742,18372
VW,Golf,1.4,Diesel,2017,43866,22667
Toyota,Prius,1.8,Hybrid,2002,70532,11262
Ford,Mondeo,1.6,Diesel,2018,26777,33782
Toyota,Yaris,1.4,Petrol,2007,42351,10634
Porsche,718 Cayman,2.4,Petrol,2003,40817,17989
VW,Golf,1.6,Diesel,1990,188185,1350
Toyota,Yaris,1.4,Hybrid,1990,284705,569
Ford,Fiesta,1.2,Petrol,2021,11541,25748
VW,Polo,1.0,Petrol,1994,135155,1740
Toyota,Yaris,1.2,Petrol,2007,157482,4268
BMW,M5,4.0,Petrol,1992,20670,18679
VW,Polo,1.4,Petrol,1993,161383,1555
BMW,Z4,2.4,Petrol,1987,184234,1753
VW,Polo,1.4,Petrol,1991,140870,1610
VW,Passat,1.8,Diesel,1991,135246,2966
Ford,Mondeo,1.8,Diesel,1998,173144,3277
VW,Polo,1.2,Petrol,1996,198793,1276
Ford,Focus,1.8,Diesel,1993,119392,3664
VW,Polo,1.6,Petrol,2008,90199,7857
VW,Polo,1.2,Diesel,1989,122306,1586
Ford,Fiesta,1.0,Petrol,2010,37981,9731
Ford,Mondeo,2.0,Diesel,1991,270612,901
Toyota,RAV4,1.8,Hybrid,1999,113809,7954
Ford,Mondeo,1.4,Diesel,2022,2164,47076
BMW,Z4,2.2,Petrol,2011,106516,15582
VW,Passat,2.0,Diesel,2004,106361,9290
Ford,Fiesta,1.4,Petrol,1992,258542,598
Ford,Mondeo,2.0,Hybrid,2001,195599,3972
Toyota,Yaris,1.4,Hybrid,1988,229357,832
Toyota,Prius,1.4,Hybrid,2006,85522,11701
BMW,X3,2.0,Diesel,2015,58451,29860
BMW,Z4,2.0,Petrol,1998,169937,3765
BMW,X3,2.4,Diesel,2005,136891,9516
Toyota,RAV4,2.2,Hybrid,2017,34171,49980
VW,Golf,1.6,Petrol,2020,29780,30634
Porsche,718 Cayman,2.4,Petrol,2009,102024,17806
Toyota,Yaris,1.2,Hybrid,1992,168805,1713
VW,Polo,1.6,Petrol,2016,59106,16537
Ford,Fiesta,1.0,Petrol,2007,132671,4113
Porsche,718 Cayman,4.0,Petrol,2002,143420,10469
Ford,Fiesta,1.2,Petrol,1999,239258,1055
VW,Passat,1.6,Diesel,2014,27302,27255
Ford,Fiesta,1.0,Petrol,2007,66621,6656
Ford,Mondeo,1.6,Diesel,1999,98986,5949
BMW,M5,5.0,Petrol,2007,78470,39655
Toyota,RAV4,2.2,Hybrid,1990,175333,2936
Ford,Mondeo,2.0,Diesel,1990,143865,2583
BMW,M5,4.0,Petrol,1991,88701,11366
VW,Polo,2.0,Petrol,2016,21917,23108
Ford,Focus,1.0,Petrol,1995,205148,1455
VW,Passat,1.4,Petrol,2006,116901,7812
Ford,Mondeo,2.0,Diesel,2005,133491,7631
Ford,Focus,1.4,Diesel,2000,149597,4055
Ford,Focus,1.0,Petrol,1996,275870,814
VW,Golf,1.2,Diesel,2011,70494,11866
VW,Passat,2.0,Diesel,1996,127923,4623
Toyota,Yaris,1.2,Hybrid,2010,69984,12102
VW,Golf,1.6,Hybrid,1995,149511,2984
Ford,Mondeo,2.0,Diesel,1993,46537,6348
Ford,Focus,2.0,Hybrid,1991,185596,2245
Ford,Mondeo,2.0,Diesel,2001,95183,7813
VW,Polo,1.2,Petrol,2017,30156,18264
Toyota,Yaris,1.4,Petrol,2004,68593,7369
Ford,Focus,1.6,Petrol,1991,293339,625
Toyota,RAV4,2.0,Hybrid,2011,39273,30995
VW,Golf,1.8,Diesel,2009,56367,13948
Toyota,RAV4,2.4,Hybrid,1997,95335,9216
VW,Golf,1.4,Hybrid,2007,67009,11482
Ford,Mondeo,1.4,Diesel,2007,62327,12221
Ford,Fiesta,1.0,Petrol,2002,124592,3140
Ford,Fiesta,1.0,Hybrid,1987,193576,782
Ford,Focus,1.4,Petrol,2015,67415,19366
VW,Passat,1.4,Petrol,2000,121447,5057
Ford,Mondeo,1.4,Diesel,2015,57649,21472
Ford,Focus,1.6,Petrol,1999,133576,4394
Porsche,Cayenne,4.0,Petrol,1999,164944,8500
Toyota,Yaris,1.4,Hybrid,2006,83062,9157
VW,Polo,1.0,Petrol,1991,193568,873
Ford,Fiesta,1.4,Hybrid,2017,20791,24315
Toyota,Yaris,1.2,Hybrid,1998,99559,4421
BMW,X3,2.4,Diesel,2010,76998,20726
Porsche,Cayenne,3.0,Petrol,2006,90361,20998
Porsche,911,3.0,Petrol,2001,96340,21473
Toyota,RAV4,2.2,Hybrid,2001,127880,9016
BMW,Z4,2.2,Petrol,2014,66277,25254
Ford,Mondeo,1.8,Petrol,2007,115970,9026
VW,Golf,1.6,Petrol,2010,53684,13618
VW,Passat,1.6,Diesel,1990,302024,592
VW,Polo,1.4,Petrol,2009,30260,11566
Toyota,Prius,1.0,Hybrid,2015,33182,25235
Toyota,RAV4,1.8,Hybrid,1995,228748,2313
Ford,Focus,1.8,Petrol,2009,108749,10992
Toyota,Prius,1.0,Hybrid,2021,14849,41715
Toyota,Prius,1.0,Hybrid,2011,60407,16349
Ford,Focus,1.4,Petrol,1995,207999,1679
Toyota,RAV4,1.8,Hybrid,2015,31851,40103
Porsche,718 Cayman,2.0,Petrol,2005,110717,11671
Ford,Focus,1.6,Diesel,2014,33219,25164
BMW,Z4,2.2,Petrol,1999,145258,5179
Toyota,RAV4,2.2,Hybrid,1999,186593,4856
BMW,X3,2.4,Petrol,1987,64363,4636
Ford,Mondeo,1.8,Hybrid,2000,152700,5077
Toyota,RAV4,2.0,Hybrid,2007,93930,16553
Ford,Mondeo,1.4,Diesel,2014,63372,19357
VW,Polo,1.6,Petrol,1998,143844,2680
Toyota,Prius,1.0,Hybrid,1986,184102,1196
BMW,X3,2.0,Diesel,2009,104527,14548
Toyota,RAV4,2.4,Hybrid,2013,54808,35258
VW,Polo,1.4,Petrol,2011,78921,9714
VW,Polo,1.0,Petrol,2018,7799,20141
Porsche,911,2.6,Petrol,2016,36980,80387
VW,Polo,2.0,Petrol,2006,73586,8627
VW,Golf,2.0,Diesel,2017,37354,28172
BMW,M5,5.0,Petrol,2011,51409,61843
BMW,M5,4.0,Petrol,2020,23696,118780
Toyota,Prius,1.4,Hybrid,1998,155427,4014
Toyota,Yaris,1.4,Petrol,2008,77183,9080
Ford,Focus,1.0,Diesel,2009,37668,13886
Ford,Mondeo,1.4,Diesel,2011,102212,12097
Ford,Focus,1.8,Petrol,2006,73873,11541
Toyota,RAV4,1.8,Hybrid,2018,34619,48198
VW,Passat,2.0,Petrol,1993,79051,5167
Toyota,RAV4,2.2,Petrol,2013,34972,31751
Toyota,Prius,1.0,Hybrid,2013,51954,19715
VW,Polo,1.2,Petrol,2016,64774,13803
Ford,Mondeo,1.4,Diesel,2006,151107,5921
Ford,Fiesta,1.0,Petrol,1993,179395,1099
VW,Polo,1.4,Petrol,1992,124315,1962
Porsche,718 Cayman,2.4,Petrol,1999,165244,5547
VW,Polo,1.6,Petrol,2011,71606,10914
Ford,Mondeo,1.8,Diesel,2008,61252,14917
Toyota,Prius,1.0,Hybrid,1992,100693,3488
VW,Golf,2.0,Diesel,1994,198931,1794
Toyota,Prius,1.4,Hybrid,2012,67071,19797
VW,Golf,2.0,Hybrid,1999,271320,1479
Toyota,Prius,1.8,Hybrid,2004,156820,6713
Ford,Mondeo,1.6,Diesel,2011,108039,12386
Ford,Focus,1.4,Petrol,1994,109081,3557
VW,Passat,1.6,Diesel,2009,74875,14510
VW,Passat,2.0,Petrol,2015,52088,26749
Porsche,718 Cayman,2.0,Petrol,2009,49786,23191
Porsche,911,2.6,Petrol,2001,120357,16707
Ford,Mondeo,1.6,Diesel,2006,117158,8284
Ford,Fiesta,1.4,Petrol,2009,91692,7574
Toyota,Yaris,1.2,Petrol,2001,133337,3479
Ford,Fiesta,1.4,Petrol,2000,77195,4600
Ford,Fiesta,1.2,Petrol,1995,212113,1033
Ford,Focus,2.0,Diesel,2019,14969,43489
Porsche,911,3.5,Petrol,2020,25615,130033
Ford,Fiesta,1.2,Petrol,1985,290376,257
Toyota,Prius,1.0,Hybrid,1992,237910,1105
Ford,Focus,1.4,Petrol,2007,95667,9341
Porsche,718 Cayman,4.0,Petrol,2007,67288,25651
VW,Golf,1.8,Petrol,2003,72721,7999
Toyota,Yaris,1.0,Petrol,1997,158588,1982
